"identity","dimension","consensus","disagree","source","se","disagree_scale","rescaled_disagree"
"brother","Politics",0.187857142857143,0.205433072441482,"This Paper",0.0549042980705956,NA,0.496978012618371
"brother","Justice",0.13,0.159855704164244,"This Paper",0.0427232340217208,NA,0.38653359351134
"brother","Medicine",0.139285714285714,0.196878106987519,"This Paper",0.0526178873788515,NA,0.500775329667767
"brother","Business",0.140714285714286,0.151020339216752,"This Paper",0.0403618834131048,NA,0.357719946019884
"brother","Education",0.232142857142857,0.239492366071642,"This Paper",0.064007027184852,NA,0.554140903286827
"brother","Religion",0.287142857142857,0.284156743620585,"This Paper",0.075944084197828,NA,0.817435856053412
"bully","Evaluation",0.0974955277280858,0.0690722670502929,"This Paper",0.013546186059136,NA,0
"bully","Potency",0.675313059033989,0.228710568969344,"This Paper",0.0448538328515228,NA,0.722967935802628
"bully","Activity",0.793828264758497,0.127909416141969,"This Paper",0.0250851003415445,NA,0.21727822321567
"bully","Age",0.235576923076923,0.0867553678232871,"This Paper",0.0170141274399946,NA,0.425866103282343
"bully","Gender",0.326923076923077,0.18397324220156,"This Paper",0.036080121229411,NA,0.85933784884732
"bully","White",0.573846153846154,0.215890285526272,"This Paper",0.0423395684112916,NA,0.511695564559634
"bully","Latino",0.203076923076923,0.120822820055459,"This Paper",0.0236953045057729,NA,0.367821264100578
"bully","Asian",0.0876923076923077,0.108933289395214,"This Paper",0.0213635757040788,NA,0.354020072576039
"bully","Middle Eastern",0.117692307692308,0.162093989828314,"This Paper",0.031789246814257,NA,0.53266164005545
"bully","Black",0.304230769230769,0.201060649097193,"This Paper",0.0394312374293161,NA,0.681052736900101
"bully","Family",0.290769230769231,0.275476649855091,"This Paper",0.0540254158903953,NA,0.73329528944896
"bully","Politics",0.186923076923077,0.262476958695718,"This Paper",0.0514759667022291,NA,0.674922036681218
"bully","Justice",0.454230769230769,0.347449830357398,"This Paper",0.0681405178841106,NA,1
"bully","Medicine",0.0723076923076923,0.129098650413014,"This Paper",0.0253183283705558,NA,0.281864622768019
"bully","Business",0.107307692307692,0.207047003210531,"This Paper",0.0406052580615925,NA,0.538785516035999
"bully","Education",0.463076923076923,0.322326160660524,"This Paper",0.0632133608826713,NA,0.817971137239194
"bully","Religion",0.128076923076923,0.237672366601912,"This Paper",0.0466113859671127,NA,0.656481564797909
"child","Evaluation",0.730232558139535,0.176630493245781,"This Paper",0.0456057972515541,NA,0.596385474889198
"child","Potency",0.175193798449612,0.0858382442579656,"This Paper",0.0221633393652523,NA,0.127969174599028
"child","Activity",0.862015503875969,0.0817347771633014,"This Paper",0.021103828717296,NA,0
"child","Age",0.0849333333333333,0.0162633095677122,"This Paper",0.00419916847399766,NA,0.0641374284649295
"child","Gender",0.5,0,"This Paper",0,NA,0
"child","White",0.497333333333333,0.231839435406326,"This Paper",0.0598606848215219,NA,0.57877388572486
"child","Latino",0.272,0.216075383671004,"This Paper",0.055790424165545,NA,0.843755297235159
"child","Asian",0.242,0.235195966923633,"This Paper",0.0607273375326922,NA,0.897644620822686
"child","Middle Eastern",0.186,0.24230441302508,"This Paper",0.0625627304239132,NA,0.861035423845213
"child","Black",0.294,0.223440628099982,"This Paper",0.0576921220998236,NA,0.787568903183648
"child","Family",0.86,0.14555313217418,"This Paper",0.0375816571265951,NA,0.291981081985784
"child","Politics",0.177333333333333,0.221213105613655,"This Paper",0.0571169782669672,NA,0.546202614707839
"child","Justice",0.092,0.122135755850377,"This Paper",0.0315353165589976,NA,0.26318260371958
"child","Medicine",0.303333333333333,0.22855654713461,"This Paper",0.059013046714601,NA,0.60308877501766
"child","Business",0.0666666666666667,0.0611399643285408,"This Paper",0.0157862709088103,NA,0.067246800693879
"child","Education",0.631333333333333,0.318071570262927,"This Paper",0.0821257263020238,NA,0.804420030646279
"child","Religion",0.147333333333333,0.132096645716399,"This Paper",0.0341072072632983,NA,0.29092078031992
"coach","Evaluation",0.62298747763864,0.183475640697321,"This Paper",0.0359825335455607,NA,0.634340233515967
"coach","Potency",0.691860465116279,0.14687109832798,"This Paper",0.0288037921675836,NA,0.382143470689882
"coach","Activity",0.746422182468694,0.16155742919723,"This Paper",0.0316840186170216,NA,0.375611469627464
"coach","Age",0.508807692307692,0.0849936558718446,"This Paper",0.016668627300851,NA,0.416825911445486
"coach","Gender",0.317307692307692,0.206853720146536,"This Paper",0.0405673521340942,NA,0.96621241637977
"coach","White",0.641153846153846,0.162931321066931,"This Paper",0.0319534609806051,NA,0.288962788625021
"coach","Latino",0.128076923076923,0.0620334897144586,"This Paper",0.0121657682519339,NA,0.0740775365574023
"coach","Asian",0.0684615384615385,0.0524360416272859,"This Paper",0.0102835538258882,NA,0.110770908244749
"coach","Middle Eastern",0.0503846153846154,0.0554603115195556,"This Paper",0.010876661948775,NA,0.0961135827067255
"coach","Black",0.296538461538462,0.132058844692578,"This Paper",0.0258988702319221,NA,0.352642791970709
"coach","Family",0.302692307692308,0.301311236993348,"This Paper",0.0590919952728408,NA,0.821048227112326
"coach","Politics",0.0780769230769231,0.112712704901239,"This Paper",0.0221047800662017,NA,0.207743943972289
"coach","Justice",0.0592307692307692,0.0747755616186506,"This Paper",0.0146646941474369,NA,0.108306282400079
"coach","Medicine",0.112692307692308,0.225930213868047,"This Paper",0.0443085603547448,NA,0.594606374877647
"coach","Business",0.235,0.27565558220359,"This Paper",0.054060507411034,NA,0.760513003946993
"coach","Education",0.461153846153846,0.31901507077976,"This Paper",0.0625640027321608,NA,0.807425132167051
"coach","Religion",0.0811538461538462,0.137093454929896,"This Paper",0.026886238533592,NA,0.308222461811194
"conservative","Evaluation",0.458575581395349,0.235637318599393,"This Paper",0.0589093296498482,NA,0.923564667080954
"conservative","Potency",0.723110465116279,0.138511671508367,"This Paper",0.0346279178770918,NA,0.347330230182391
"conservative","Activity",0.582848837209302,0.1724631991899,"This Paper",0.0431157997974751,NA,0.426929387411312
"conservative","Age",0.625875,0.117024712489855,"This Paper",0.0292561781224639,NA,0.581192677719022
"conservative","Gender",0.3125,0.111803398874989,"This Paper",0.0279508497187474,NA,0.522232967867094
"conservative","White",0.81125,0.0942249082426369,"This Paper",0.0235562270606592,NA,0
"conservative","Latino",0.096875,0.162838109790061,"This Paper",0.0407095274475153,NA,0.577752687861689
"conservative","Asian",0.136875,0.130981868974297,"This Paper",0.0327454672435743,NA,0.448950335008192
"conservative","Middle Eastern",0.086875,0.171841739205972,"This Paper",0.042960434801493,NA,0.572567991611827
"conservative","Black",0.08375,0.112657297440808,"This Paper",0.028164324360202,NA,0.260302292769608
"conservative","Family",0.415,0.321123029382821,"This Paper",0.0802807573457052,NA,0.888343399016909
"conservative","Politics",0.93,0.0654217089351845,"This Paper",0.0163554272337961,NA,0.0602233124600082
"conservative","Justice",0.485,0.209539176925621,"This Paper",0.0523847942314052,NA,0.549007451916783
"conservative","Medicine",0.189375,0.187135200679437,"This Paper",0.0467838001698594,NA,0.469308177008972
"conservative","Business",0.619375,0.324745413105918,"This Paper",0.0811863532764795,NA,0.919160290448145
"conservative","Education",0.345625,0.261073903968461,"This Paper",0.0652684759921153,NA,0.622879299500948
"conservative","Religion",0.57,0.315446773111831,"This Paper",0.0788616932779576,NA,0.925779020857022
"consultant","Evaluation",0.5625,0.1717824035197,"This Paper",0.0429456008799249,NA,0.569503939223675
"consultant","Potency",0.723837209302326,0.107035710071803,"This Paper",0.0267589275179508,NA,0.216247054344933
"consultant","Activity",0.667877906976744,0.146220255981925,"This Paper",0.0365550639954811,NA,0.303441251969407
"consultant","Age",0.4745,0.0760377099427207,"This Paper",0.0190094274856802,NA,0.370868642884354
"consultant","Gender",0.328125,0.150519932234904,"This Paper",0.0376299830587259,NA,0.703077649920819
"consultant","White",0.694375,0.227419399641573,"This Paper",0.0568548499103932,NA,0.560184269298929
"consultant","Latino",0.160625,0.193406954373414,"This Paper",0.0483517385933536,NA,0.730491395761885
"consultant","Asian",0.23375,0.166688331925183,"This Paper",0.0416720829812958,NA,0.602684678134188
"consultant","Middle Eastern",0.10125,0.107757443671733,"This Paper",0.0269393609179332,NA,0.310213028660728
"consultant","Black",0.174375,0.133614807063688,"This Paper",0.0334037017659221,NA,0.360048301450028
"consultant","Family",0.13,0.263413489910192,"This Paper",0.0658533724775479,NA,0.692320075987917
"consultant","Politics",0.459375,0.352485815317439,"This Paper",0.0881214538293598,NA,0.955697755172443
"consultant","Justice",0.158125,0.270289196972428,"This Paper",0.067572299243107,NA,0.747670902892088
"consultant","Medicine",0.195625,0.235767364153735,"This Paper",0.0589418410384338,NA,0.626377912032889
"consultant","Business",0.9275,0.142431269974913,"This Paper",0.0356078174937283,NA,0.329962007079345
"consultant","Education",0.385,0.358329457343378,"This Paper",0.0895823643358446,NA,0.932643635753091
"consultant","Religion",0.119375,0.265818703881674,"This Paper",0.0664546759704186,NA,0.75393955087531
"cop","Evaluation",0.567587209302326,0.225841724236212,"This Paper",0.056460431059053,NA,0.869250363073283
"cop","Potency",0.831395348837209,0.0892651731502933,"This Paper",0.0223162932875733,NA,0.142240787031925
"cop","Activity",0.754360465116279,0.132705955936201,"This Paper",0.0331764889840504,NA,0.239848700584333
"cop","Age",0.4195625,0.0572956877376765,"This Paper",0.0143239219344191,NA,0.2746943074571
"cop","Gender",0.28125,0.0853912563829966,"This Paper",0.0213478140957492,NA,0.398862017608733
"cop","White",0.605625,0.134112825635731,"This Paper",0.0335282064089328,NA,0.167759068892582
"cop","Latino",0.1775,0.090148026415816,"This Paper",0.022537006603954,NA,0.214553176625147
"cop","Asian",0.1075,0.0801249024960405,"This Paper",0.0200312256240101,NA,0.229985428132093
"cop","Middle Eastern",0.059375,0.0410639744788543,"This Paper",0.0102659936197136,NA,0.0371763588602567
"cop","Black",0.25125,0.113776095907708,"This Paper",0.028444023976927,NA,0.265627146895846
"cop","Family",0.34625,0.277629849499893,"This Paper",0.0694074623749733,NA,0.740609112317346
"cop","Politics",0.585,0.227361679562175,"This Paper",0.0568404198905439,NA,0.5653826191306
"cop","Justice",0.898125,0.0982662200351677,"This Paper",0.0245665550087919,NA,0.185124944568614
"cop","Medicine",0.124375,0.157774892383632,"This Paper",0.039443723095908,NA,0.374481718246142
"cop","Business",0.16625,0.165765899187177,"This Paper",0.0414414747967943,NA,0.405374277563669
"cop","Education",0.229375,0.188872752578731,"This Paper",0.0472181881446828,NA,0.392914624366538
"cop","Religion",0.19125,0.18764771958824,"This Paper",0.0469119298970599,NA,0.483268926019121
"criminal","Evaluation",0.194040697674418,0.215653791060352,"This Paper",0.053913447765088,NA,0.812760631137934
"criminal","Potency",0.508720930232558,0.245511353648148,"This Paper",0.061377838412037,NA,0.792935622626028
"criminal","Activity",0.672238372093023,0.213701349154869,"This Paper",0.0534253372887172,NA,0.620978591720832
"criminal","Age",0.3728125,0.141832398155946,"This Paper",0.0354580995389864,NA,0.708492851431456
"criminal","Gender",0.328125,0.19830006723818,"This Paper",0.049575016809545,NA,0.926258357832492
"criminal","White",0.443125,0.257674698020586,"This Paper",0.0644186745051464,NA,0.687430839610198
"criminal","Latino",0.350625,0.194129467108937,"This Paper",0.0485323667772343,NA,0.734101465529629
"criminal","Asian",0.104375,0.216855366546461,"This Paper",0.0542138416366153,NA,0.818679080175344
"criminal","Middle Eastern",0.17,0.224291477026361,"This Paper",0.0560728692565903,NA,0.787292190543077
"criminal","Black",0.473125,0.246812175550559,"This Paper",0.0617030438876398,NA,0.898804379956854
"criminal","Family",0.23875,0.279496571237168,"This Paper",0.069874142809292,NA,0.746949849073435
"criminal","Politics",0.355,0.312196519305816,"This Paper",0.078049129826454,NA,0.83001838916615
"criminal","Justice",0.845625,0.249264752154545,"This Paper",0.0623161880386362,NA,0.678917201096724
"criminal","Medicine",0.11125,0.177045191970864,"This Paper",0.0442612979927159,NA,0.436719970336195
"criminal","Business",0.1475,0.200848201386022,"This Paper",0.0502120503465055,NA,0.518752383492247
"criminal","Education",0.14625,0.213943138863266,"This Paper",0.0534857847158165,NA,0.472765196364996
"criminal","Religion",0.178125,0.223464202949824,"This Paper",0.0558660507374559,NA,0.607285145326793
"daughter","Evaluation",0.736918604651163,0.147136295991101,"This Paper",0.0367840739977753,NA,0.432846976176528
"daughter","Potency",0.424418604651163,0.148788751801675,"This Paper",0.0371971879504189,NA,0.390129632065583
"daughter","Activity",0.670058139534884,0.166993100190059,"This Paper",0.0417482750475148,NA,0.40118942673618
"daughter","Age",0.30925,0.169001972375078,"This Paper",0.0422504930937695,NA,0.847913011955183
"daughter","Gender",0.96875,0.125,"This Paper",0.03125,NA,0.583874208121142
"daughter","White",0.514375,0.220180796922287,"This Paper",0.0550451992305717,NA,0.529740432377001
"daughter","Latino",0.329375,0.199080176478389,"This Paper",0.0497700441195974,NA,0.758837923926597
"daughter","Asian",0.28,0.193183850256692,"This Paper",0.048295962564173,NA,0.716761256149773
"daughter","Middle Eastern",0.25375,0.191828916833029,"This Paper",0.0479572292082574,NA,0.654393580894337
"daughter","Black",0.33875,0.192072035097946,"This Paper",0.0480180087744865,NA,0.638271968281726
"daughter","Family",0.921875,0.0924639569417908,"This Paper",0.0231159892354477,NA,0.111651856678811
"daughter","Politics",0.273125,0.316558972915527,"This Paper",0.0791397432288817,NA,0.843626728307697
"daughter","Justice",0.16125,0.173354165414814,"This Paper",0.0433385413537035,NA,0.430675980506909
"daughter","Medicine",0.341875,0.301512161169883,"This Paper",0.0753780402924707,NA,0.838717177013052
"daughter","Business",0.2,0.237767393335027,"This Paper",0.0594418483337567,NA,0.63806690372717
"daughter","Education",0.6025,0.300543951306072,"This Paper",0.075135987826518,NA,0.74859359129304
"daughter","Religion",0.275,0.236755851740423,"This Paper",0.0591889629351058,NA,0.653308089978685
"democrat","Evaluation",0.598110465116279,0.217495485241866,"This Paper",0.0543738713104666,NA,0.822972399199698
"democrat","Potency",0.675872093023256,0.174799326082151,"This Paper",0.0436998315205378,NA,0.498451936657053
"democrat","Activity",0.647529069767442,0.251324909994993,"This Paper",0.0628312274987483,NA,0.798019076090741
"democrat","Age",0.507625,0.198640001006847,"This Paper",0.0496600002517116,NA,1
"democrat","Gender",0.5,0.158113883008419,"This Paper",0.0395284707521047,NA,0.738548945875997
"democrat","White",0.523125,0.220324571182305,"This Paper",0.0550811427955763,NA,0.530345112630264
"democrat","Latino",0.324375,0.181547743949996,"This Paper",0.045386935987499,NA,0.671236278289246
"democrat","Asian",0.17375,0.132205647887423,"This Paper",0.0330514119718558,NA,0.454219320838562
"democrat","Middle Eastern",0.12625,0.115923825563744,"This Paper",0.028980956390936,NA,0.343645413316941
"democrat","Black",0.4,0.209475535564419,"This Paper",0.0523688838911047,NA,0.721102883778634
"democrat","Family",0.303125,0.345595500549414,"This Paper",0.0863988751373535,NA,0.971469605960252
"democrat","Politics",0.940625,0.0998311073764085,"This Paper",0.0249577768441021,NA,0.167560789379519
"democrat","Justice",0.50875,0.269044605967115,"This Paper",0.0672611514917787,NA,0.74360086729411
"democrat","Medicine",0.356875,0.351448787165356,"This Paper",0.0878621967913391,NA,1
"democrat","Business",0.394375,0.334842624725905,"This Paper",0.0837106561814763,NA,0.951792206168655
"democrat","Education",0.54625,0.324753752865152,"This Paper",0.0811884382162879,NA,0.825703153169005
"democrat","Religion",0.265,0.333466640010661,"This Paper",0.0833666600026653,NA,0.988173637957187
"dentist","Evaluation",0.662063953488372,0.173120166970826,"This Paper",0.0432800417427064,NA,0.576921527996839
